Time, Ptotal,Regd,Time regD
3944.75,13777.85938,,
3945,13777.85938,,
3945.25,13777.85938,,
3945.5,13775.21289,,
3945.75,13775.16797,,
3946,13775.16797,,
3946.25,13775.16797,,
3946.5,13774.53613,,
3946.75,13771.58301,,
3947,13771.58301,,
3947.25,13771.58301,,
3947.5,13771.58301,,
3947.75,13771.58301,,
3948,13771.58301,,
3948.25,13771.58301,,
3948.5,13771.58301,,
3948.75,13771.58301,,
3949,13771.58301,,
3949.25,13771.58301,,
3949.5,13771.58301,,
3949.75,13771.58301,,
3950,13771.58301,,
3950.25,13771.58301,,
3950.5,13771.58301,,
3950.75,13771.58301,,
3951,13771.58301,,
3951.25,13771.58301,,
3951.5,13771.58301,,
3951.75,13771.58301,,
3952,13771.58301,,
3952.25,13771.58301,,
3952.5,13771.58301,,
3952.75,13771.58301,,
3953,13771.58301,,
3953.25,13771.58301,,
3953.5,13771.58301,,
3953.75,13771.58301,,
3954,13771.58301,,
3954.25,13771.58301,,
3954.5,13771.58301,,
3954.75,13771.58301,,
3955,13771.58301,,
3955.25,13771.58301,,
3955.5,13771.58301,,
3955.75,13771.58301,,
3956,13771.58301,,
3956.25,13771.58301,,
3956.5,13771.58301,,
3956.75,13771.58301,,
3957,13771.58301,,
3957.25,13771.58301,,
3957.5,13771.58301,,
3957.75,13771.58301,,
3958,13771.58301,,
3958.25,13771.58301,,
3958.5,13771.58301,,
3958.75,13771.58301,,
3959,13771.58301,,
3959.25,13771.58301,,
3959.5,13771.58301,,
3959.75,13771.58301,,
3960,13771.58301,,
3960.25,13771.58301,,
3960.5,13771.58301,,
3960.75,13771.58301,,
3961,13771.58301,,
3961.25,13771.58301,,
3961.5,13771.58301,,
3961.75,13771.58301,,
3962,13771.58301,,
3962.25,13771.58301,,
3962.5,13771.58301,,
3962.75,13771.58301,,
3963,13771.58301,,
3963.25,13771.58301,,
3963.5,13771.58301,,
3963.75,13771.58301,,
3964,13771.58301,,
3964.25,13771.58301,,
3964.5,13771.58301,,
3964.75,13771.58301,,
3965,13771.58301,,
3965.25,13771.58301,,
3965.5,13771.58301,,
3965.75,13771.58301,,
3966,13771.58301,,
3966.25,13771.58301,,
3966.5,13771.58301,,
3966.75,13771.58301,,
3967,13771.58301,,
3967.25,13771.58301,,
3967.5,13771.58301,,
3967.75,13771.58301,,
3968,13771.58301,,
3968.25,13771.58301,,
3968.5,13771.58301,,
3968.75,13771.58301,,
3969,13771.58301,,
3969.25,13771.58301,,
3969.5,13771.58301,,
3969.75,13771.58301,,
3970,13771.58301,,
3970.25,13771.58301,,
3970.5,13771.58301,,
3970.75,13771.58301,,
3971,13771.58301,,
3971.25,13771.58301,,
3971.5,13771.58301,,
3971.75,13771.58301,,
3972,13771.58301,,
3972.25,13771.58301,,
3972.5,13771.58301,,
3972.75,13771.58301,,
3973,13771.58301,,
3973.25,13771.58301,,
3973.5,13771.58301,,
3973.75,13771.58301,,
3974,13771.58301,,
3974.25,13771.58301,,
3974.5,13771.58301,,
3974.75,13771.58301,,
3975,13771.58301,,
3975.25,13771.58301,,
3975.5,13771.58301,,
3975.75,13771.58301,,
3976,13771.58301,,
3976.25,13771.58301,,
3976.5,13771.58301,,
3976.75,13771.58301,,
3977,13771.58301,,
3977.25,13771.58301,,
3977.5,13771.58301,,
3977.75,13771.58301,,
3978,13771.58301,,
3978.25,13771.58301,,
3978.5,13771.58301,,
3978.75,13771.58301,,
3979,13771.58301,,
3979.25,13771.58301,,
3979.5,13771.58301,,
3979.75,13771.58301,,
3980,13771.58301,,
3980.25,13771.58301,,
3980.5,13771.58301,,
3980.75,13771.58301,,
3981,13771.58301,,
3981.25,13771.58301,,
3981.5,13771.58301,,
3981.75,13771.58301,,
3982,13771.58301,,
3982.25,13771.58301,,
3982.5,13771.58301,,
3982.75,13771.58301,,
3983,13771.58301,,
3983.25,13771.58301,,
3983.5,13771.58301,,
3983.75,13771.58301,,
3984,13771.58301,,
3984.25,13771.58301,,
3984.5,13771.58301,,
3984.75,13771.58301,,
3985,13771.58301,,
3985.25,13771.58301,,
3985.5,13771.58301,,
